episode,score,steps,total_steps,exploration,mean_loss,elapsed_seconds,terminated,truncated
66,610.0,748,42122,0.1,0.049508960210384534,364.00456041598227,True,False
67,1230.0,720,42842,0.1,0.05334091084077954,370.4343899160158,True,False
68,460.0,454,43296,0.1,0.049862027830003125,374.28129566600546,True,False
69,710.0,719,44015,0.1,0.050305093669816434,380.41076025000075,True,False
70,1060.0,637,44652,0.1,0.048256714773015116,385.95513879100326,True,False
71,760.0,613,45265,0.1,0.0501674862237635,391.1258880409878,True,False
72,720.0,561,45826,0.1,0.05089047159999609,395.9829939160263,True,False
73,740.0,834,46660,0.1,0.05479131649698367,403.26972704101354,True,False
74,970.0,733,47393,0.1,0.04808382486893994,409.6269932499854,True,False
75,770.0,720,48113,0.1,0.04976157732825312,416.1942450409988,True,False
76,410.0,447,48560,0.1,0.057343821976766254,421.9714276660234,True,False
77,1610.0,737,49297,0.1,0.05297321464319754,428.49705066601746,True,False
78,260.0,339,49636,0.1,0.05269001856007997,431.3683947499958,True,False
79,1550.0,773,50409,0.1,0.05724803941237494,438.0950588749838,True,False
80,1450.0,976,51385,0.1,0.05753313212227992,446.6878223750391,True,False
81,1810.0,844,52229,0.1,0.063476038831882,454.1024558329955,True,False
82,500.0,673,52902,0.1,0.05956486619210669,460.1612847910146,True,False
83,1050.0,850,53752,0.1,0.05937786584833698,467.4538290409837,True,False
84,930.0,683,54435,0.1,0.052547384168514434,473.4609897910268,True,False
85,470.0,460,54895,0.1,0.04980362729047951,477.36123608303024,True,False
86,1550.0,771,55666,0.1,0.059143117957125985,483.8055305000162,True,False
87,1230.0,760,56426,0.1,0.06103914018573337,490.10826854099287,True,False
88,430.0,537,56963,0.1,0.05803941746951261,494.63485212501837,True,False
89,1740.0,1241,58204,0.1,0.05578877091994719,505.42208554100944,True,False
90,720.0,537,58741,0.1,0.05651321214165038,510.09438612498343,True,False
91,640.0,572,59313,0.1,0.059756682580011294,515.0829322499922,True,False
92,360.0,535,59848,0.1,0.05972896619185583,519.6063605000381,True,False
93,900.0,590,60438,0.1,0.058377466886779486,524.6404297910049,True,False
94,950.0,595,61033,0.1,0.05734939956975063,529.84146783303,True,False
95,920.0,684,61717,0.1,0.05694556067975467,535.9560659999843,True,False
96,1210.0,665,62382,0.1,0.06370484823899636,541.6394228329882,True,False
97,950.0,759,63141,0.1,0.06209903978007404,548.0677581250202,True,False
98,1620.0,732,63873,0.1,0.061886112114078684,554.6167412500363,True,False
99,880.0,685,64558,0.1,0.06598148310872895,560.5496114999987,True,False
100,290.0,369,64927,0.1,0.05692144410441751,563.843448166037,True,False
101,560.0,601,65528,0.1,0.061462116039154545,570.6501802499988,True,False
102,1790.0,891,66419,0.1,0.06539425713656184,578.1222038330161,True,False
103,460.0,504,66923,0.1,0.06568138002757988,582.3192016659887,True,False
104,720.0,622,67545,0.1,0.061403214161355905,587.5404156250297,True,False
105,1800.0,812,68357,0.1,0.063775010833636,594.4520687080221,True,False
106,1210.0,1145,69502,0.1,0.07192463108331903,604.3118852500338,True,False
107,540.0,473,69975,0.1,0.06763673928897765,608.4336802500184,True,False
108,890.0,804,70779,0.1,0.06856063590732528,615.2277689159964,True,False
109,790.0,823,71602,0.1,0.06618435000910343,622.7030583330197,True,False
110,880.0,606,72208,0.1,0.06698587751261105,627.9941595410346,True,False
111,1040.0,883,73091,0.1,0.07197771317071536,635.4679681250127,True,False
112,850.0,680,73771,0.1,0.07082975284360787,641.3189391660271,True,False
